Review_Text,Improvement_Suggestion
"All features are good except the chat feature to deal with any orders. When by mistake if I click on ""cancel my order"", without even the double confirmation, the chatbot directly cancels my order!! Very bad Flipkart.... I have lost a 2k discount offer because of this mistaken cancellation. I immediately called the customer care number as well, they mentioned that the refund is already processed within just 2 mins.... Please ask for double confirmation before the cancellation of any order 🙏",Improve the chat feature to add double confirmation before order cancellation to prevent accidental cancellations. Consider refunding the discount offer lost due to the mistake. Enhance customer support responsiveness to avoid further inconveniences for users. Make sure the user experience aligns with user expectations and promotes trust in the app's features.
App is having a lot of issues recently. Some features are not stable. Price shown is varying on clicking on the product. Delivery also getting delayed these times. There were no wide range of products compared to earlier.,"Address the recent stability issues in the app to provide a more consistent user experience. Ensure that product prices are accurate and do not vary unexpectedly. Improve the delivery process to avoid delays. Consider expanding the range of products to offer a wider selection, similar to what users experienced earlier. Maintain reliability and consistency to keep users satisfied."
"There is no control of Flipkart on their registered sellers. Recently, I have placed an order, but at the time of delivery, the seller canceled my order. I was eagerly waiting for my order, but because of the pathetic services given by Flipkart, I'm really disappointed. I will never recommend anyone to shop on Flipkart. Local vendors are better than Flipkart.",Establish better control and oversight of registered sellers to prevent situations where orders are canceled without adequate reason. Improve communication and coordination between Flipkart and its sellers to avoid customer disappointments. Ensure that the delivery process is reliable and that customers receive their orders as expected. Work on providing a better shopping experience to regain trust and loyalty.
"It's the worst shopping application ever. Regularly, I pay the pay-later money, only for one month, I have some issue, so that I was paying the bill a little bit late. But Flipkart now blocked the pay-later option for my account. And it's not showing the product cancel option. It's too cheap and mean.. Shame on you, Flipkart.",Address the issue of the blocked pay-later option to provide users with more flexibility in payment. Ensure that users can access the product cancel option when needed. Improve communication with users to resolve payment issues and prevent blocking accounts without sufficient reason. Promote transparency and accountability to maintain user trust.
"I don't know why in my orders you were showing ""Order Not Placed."" If I placed an order, if it's successful, then only you should show it in my orders. Sometimes if I try to check the total price and offer and get back, it still shows in my orders. Earlier, it was not like this; if I placed an order or canceled, then Flipkart was showing it in my orders. Sometimes it is irritating to see the red line ""Order Not Placed"" for this product. Remove this feature from the app. Other than this app is really good.",Ensure accurate order status representation to avoid confusing users. Prevent the display of 'Order Not Placed' for successful orders. Remove this feature from the app as it is causing irritation. Focus on offering a seamless user experience and maintain consistency in showing order status.
"Tonight on this platform I was about to make a big purchase. It has an extra discount using super coins. But I couldn't use it no matter how hard I tried. I even tried calling customer care, but they couldn't help either. I didn't make the purchase because the supercoin discount was a deal-breaker. What's the point of having such an important feature if you won't let us use it? Anyways, thank you, Flipkart, for helping me save money 💰🙏","Ensure that users can successfully utilize extra discounts, such as those involving super coins, during their purchases. Improve customer support's ability to assist users with issues related to discounts. Make sure that such essential features work as expected to provide the best value for users. Continue helping users save money and appreciate their loyalty."
"Worst experience with Flipkart. I've been using the app for the past few years, but these days they are accepting the order and deducting the amount from my account without delivering the product. After a few days, they cancel the orders without any prior notification. They don't even provide hub details for direct communication with the hub members.",Improve order processing and communication. Notify customers about order cancellations and provide hub details for direct communication. Enhance the reliability of the delivery process to prevent disappointments and inconveniences for users.
"Not a bad app. However, it shouldn't put a fine on its customers for returns. Instead, it should charge the developers or those who market their products for enhancing color and pattern. I received an open box delivery, which was not my choice. The app should notify me about open box deliveries and related details. Now I'm stuck with a bad product. 😡","Reevaluate the return policy and consider charging developers or product marketers for issues related to product color and pattern. Notify users about the type of delivery (e.g., open box) to manage user expectations. Ensure that users have a choice regarding the type of delivery they receive."
"The worst app I've ever experienced. The app doesn't work, and it's also problematic on a web browser. It lacks the provision to add a mobile number if the account is registered with an email ID, and vice versa. The app has an extremely poor refund policy with limited and ineffective options. It sends OTP for everything without allowing users to enter the OTP, leading to account lockouts. This app is the worst and seems illegitimate.",Address the technical issues with the app and make it functional on both the app and web browser. Provide users with the flexibility to associate their accounts with mobile numbers or email IDs as needed. Revise the refund policy to offer more effective and user-friendly options. Ensure a smooth OTP verification process that doesn't lead to account lockouts.
"Worst app for flight booking. It's been almost 7 months since I raised an issue, but there's been zero effort by the support team to resolve it. They have been unhelpful and failed to provide meaningful assistance. The experience has been frustrating and left me questioning the overall competence and dedication of the support staff.",Improve the functionality and reliability of the app for flight bookings. Enhance customer support responsiveness and efficiency. Ensure that raised issues are promptly addressed and resolved. Prioritize customer satisfaction and experience to rebuild trust and competence in the app.
"Disgusting. I would like to return the Realme Neckband 3 that I bought on October 8 because I'm not happy with the audio quality and the power on/off settings are confusing. However, Flipkart is not letting me return it. They are not ready to accept it back despite offering the return option. Flipkart, please do the needful to return such a poor-quality product.","Improve the return process for products with quality issues. Ensure that customers have the option to return items with legitimate concerns, such as poor audio quality. Make the return process more user-friendly to enhance customer satisfaction and trust."
"Very bad experience with Flipkart. I had a Flipkart Pay Later limit of 90,000, but I couldn't use it at all when I wanted to buy products for my sister's wedding. Not a single product accepted the Pay Later option. I contacted customer care twice, but they didn't resolve this issue. I'm very disappointed with the app. In contrast, Amazon offers the same Pay Later option perfectly. Thanks, Amazon. 💗",Ensure that the Flipkart Pay Later option works seamlessly for users with sufficient limits. Address technical issues that prevent the use of the Pay Later feature. Provide reliable customer support to resolve user concerns and disappointments. Compete with other platforms to maintain user loyalty and trust in the app.
"Loading time is very high in this app. Even with a good connection, it takes a long time, which is really frustrating. Today, I faced an issue in making the payment. The application has several bugs. Items added to the cart may sometimes not be ordered together. The 'Pay' button freezes after entering credit card/debit card details, making it impossible to make payments. The order history does not open sometimes. Yours sincerely, a frustrated Plus Customer.",Optimize the app's loading times and ensure it functions smoothly even with a good internet connection. Fix the payment issues and resolve bugs that affect the user experience. Guarantee that items added to the cart can be ordered together without problems. Ensure the 'Pay' button is responsive and does not freeze during payment. Provide a reliable and consistent order history to assist customers. Focus on enhancing the overall user experience to reduce user frustration.
"The app is having a lot of issues these past few months. I have been using Flipkart for years, but the number of issues I faced in recent months exceeds that of previous years. Additionally, for every product, it shows ""not deliverable,"" and this issue has persisted for the past 2-3 months.","Address and resolve the recent technical issues plaguing the app, making it slow and unresponsive. Ensure that all products are correctly marked as deliverable, as users have faced this issue for an extended period. Improve the overall app performance and reliability to meet user expectations."
"This is such a terrible experience with the Flipkart app. It has become too slow, unresponsive, and laggy. Moreover, I can't even edit my wishlist anymore. Every time I add a new product or delete anything from the wishlist, it reverts to its previous state. Meaning, no changes to the list. Deleted products reappear, and new additions don't get saved.","Optimize the app for speed and responsiveness. Fix the issues related to the lag and unresponsiveness. Ensure that users can edit their wishlists without any issues. New additions should be saved, and deleted items should stay removed. Enhance the app performance to provide a smooth and efficient experience for users."
"In this app, they mislead customers by showing fake offers that they never honor, and customer service response is very poor. I wish I could give a negative rating. Most of the time, items are missing in the delivered orders. Customers have to contact customer care, wasting 30 minutes, and then return the order, which they initially needed. The bigger headache is that the pickup person asks for the missing item in the order. Additionally, product reviews appear to be fake, and genuine reviews are not published.",Ensure transparency and honesty in displaying offers and discounts. Improve customer service response time and effectiveness. Implement strict quality control to prevent items from going missing in orders. Streamline the return process for customers and avoid inconvenience. Ensure that genuine customer reviews are published to enhance trust and credibility.
"One of the worst direct-to-consumer (D2C) brands in India, especially in terms of customer convenience and experience. On the other hand, their biggest competitor excels in customer satisfaction. I have been a customer since 2013, and every time I order, there is always an issue, either with delivery or the product itself. This company is a disappointment. I wish I could give a negative 5-star rating, but unfortunately, there is no option for that.",Significantly improve customer convenience and experience. Address the recurring issues with delivery and product quality. Benchmark the standards set by your competitor in terms of customer satisfaction. Strive to provide a seamless and issue-free shopping experience for your customers.
"Worst services by any e-commerce company. My last two orders were delayed for an extended period, and due to this, I had to cancel one of my orders. As of now, I am unable to track my second order, which was supposed to be delivered on 22nd September but still shows ""in transit."" I use multiple online shopping apps, but this has been the worst experience. I attempted to connect with customer support multiple times, but I did not receive a proper response.",Enhance your delivery services and ensure timely delivery to prevent customer inconvenience and order cancellations. Improve order tracking to provide customers with accurate updates. Strengthen your customer support team to provide effective assistance and resolution for customer queries. Strive to offer a better overall customer experience.
"The worst app ever. When I placed an order, I received confirmation of the order and the expected delivery time. However, after a few days, they canceled my order, citing that it is out of stock. Why didn't the app inform me about this in the first place? I attempted to speak with customer care, and they suggested ordering from another retailer. But now, the price has increased, and I cannot enjoy the original discount. This experience with customer care and the app has been terrible.",Ensure better inventory management to prevent situations where orders are canceled due to items being out of stock after confirmation. Improve communication to keep customers informed. Train customer support to provide more proactive assistance in such situations. Offer a seamless shopping experience and uphold discounts for customers to maintain satisfaction and trust.
"This is the worst experience I've had with Flipkart. I ordered a mobile and made the payment through a credit card. Now they have canceled my order without notice, citing a technical error. My question is, who will cover the bank interest amount and processing fees charged by the bank at the time of my order? This has cost me around Rs 1000. 😔😔😔😔",Provide better handling of technical errors to avoid order cancellations. Ensure that customers are informed of any issues promptly. Take responsibility for the bank interest amount and processing fees incurred by the customer due to order cancellations. Uphold customer trust and provide financial compensation where necessary to rectify errors.
good app,No specific improvement suggestion
great ????,No specific improvement suggestion
"Haven't received any call, after taking the appointment",Improve customer service response time
nice,No specific improvement suggestion
very good app,No specific improvement suggestion
The step calorie burnt showing very wrong information. 740 steps showing 919 cal burnt. It cannot be more than 30-40cal burnt for such small movement. Else we will not need any movement and just burn more calories than we walk. How can calories burnt be more than steps Walked? Misleading app. Not reliable data. Lost confidence in other measurements too on this app after this. Don't recommend this app for health measurements.,Ensure accurate calorie tracking and measurement
No reason,No specific improvement suggestion
"Food tracking and remainders are pretty good. They lack in communication when I tried scheduling a call with dietician. They do not call you at the right and should wait for the call. Unfortunately I couldn't make to the call and requested for reschedule but haven't seen any update on this. They do offer many diet plans which might be efficient but without proper guidance provided, customers cannot simply buy a plan. Hope they would improve on customer service.",Improve communication and customer service for appointment scheduling
good,No specific improvement suggestion
The app was really good until recent days. But since past 2 days I have come across many bugs in the app,Fix bugs and improve app stability
its good,No specific improvement suggestion
very good application ??,No specific improvement suggestion
nice ????????,No specific improvement suggestion
best app go for it,No specific improvement suggestion
Wast of money and time Very bad,Refine app monetization strategy
IT'S THE BEST ??,No specific improvement suggestion
is sy mjhy bht help milty hai k mjhy itna khana khana chahye.,No specific improvement suggestion
Downloaded finally,No specific improvement suggestion
I keep getting pop up of configuring some sensor. Title is Lets apply and pair your sensor. It continuously keeps popping with irritating sound. You guys should fix this asap. I don't want to get disturbed all the time,Fix sensor configuration pop-up issue
??,No specific improvement suggestion
After I update suddenly it stop count my calories..can u fix it,Fix calorie counting issue
best,No specific improvement suggestion
The app is amazing... But I'd like to suggest healthyfyMe to add skin care.. Example 'it's time to wash ur face',Include skincare features in the app
good,No specific improvement suggestion
"After the last update, calories won't get updated in home page after food calories is entered until after app is re started. Very irritating",Fix calorie updating issue
Yuh,No specific improvement suggestion
One of the worst.... Zero... Zero... Zero...,Enhance overall app experience
exceptional application,No specific improvement suggestion
"good app, pls reduce proces for pro",Lower the price of the Pro version
"Although this app has some good features like calorie tracking, etc., This app is a money making machine. It asks money for everything. If a person is already going to the gym and paying for gym subscription then it doesn't make much sense to empty your pocket for this app.",Revise pricing model and provide more value
best health app,No specific improvement suggestion
go for it,No specific improvement suggestion
I feel some bug in the new app. Tracking details when entered are not updating properly. The whole purpose of the app is not getting served.,Fix data tracking and updating issues
Isn't as accurate as my fitness pal,Improve accuracy of measurements
best app to remain fit and healthy,No specific improvement suggestion
??,No specific improvement suggestion
I will recommend not to go for their PAID plans. It takes time to realize that the plan is not effective for us personally and HealthyfiMe refuses to issue refunds even for the remaining days. Use their free calorie tracking service. That's good and all that you need.,Improve refund policy and provide better plan effectiveness
good,No specific improvement suggestion
halpful app,No specific improvement suggestion
excellent,No specific improvement suggestion
Good,No specific improvement suggestion
goood,No specific improvement suggestion
Properly not working for me,Fix functionality issues
Very good app,No specific improvement suggestion
Cal eaten is not getting update after entering the food details...need to close the app and open to check the cal eaten total,Fix calorie update issue
When I back out to the home interface after I log in my calories inside the app the same is not showing up,Fix calorie display issue
"Very disappointing app. After entering your details like weight, height, etc., they will get an appointment scheduled for you with a fitness consultant. AND YOU NEVER RECEIVE A CALL FROM THEM.",Improve customer service and ensure appointment follow-ups
very good,No specific improvement suggestion
It is very nice app and weight loss has been done In 15 days,No specific improvement suggestion
Really the worst weight lose program. I joined for one year plan and these guys are not even responding for anything. Even they will not mind what the clients experience. It's just a waste of time and money please don't join this program. The coaches and the diet plans also not good at all. The worst part was the customer support. You have to wait for their reply for days. My suggestion after taking this plan is not at all good.,Improve weight loss program and customer support
use full app,No specific improvement suggestion
"Because of the recent update, when I track food I need to reopen the app again to make sure that the calories are being counted. Unlike before the update, it instantly counts once I press the track button. Please fix it",Fix calorie tracking after update issue
Good aap,No specific improvement suggestion
Good,No specific improvement suggestion
I am just starting with the app and so far the experience has been good.,No specific improvement suggestion
so perfect,No specific improvement suggestion
awesome,No specific improvement suggestion
best,No specific improvement suggestion
it's very useful,No specific improvement suggestion
good,No specific improvement suggestion
good app,No specific improvement suggestion
"I love the app but after the recent updates, it has been impacted by a bug. Every time I write about what I ate and then go back to the main screen to see the impact on my overall calories, it doesn't reflect any change. I need to close the app and open it again for the changes to reflect. Kindly Fix!",Fix calorie calculation bug
This app was great earlier but its updated has made it complicated to use.. irritating notification pops up even when you have to just track your calories...,Improve user experience and reduce unnecessary notifications
"Even if I have logged food items before, it fails to show up on other days. This is something I struggle with daily. My protein shake from a particular brand is logged daily by me. But it does not show up. Sometimes I just put some other protein and log it. And same for some other food items. And why can't this be solved? I even have pro membership right now.",Fix issue with logged food items not appearing on other days
"Everything is here except some glitches, when I input my diet it doesn't sync it, I have to close app & again open to check total calories calculation",Fix issue with diet syncing and calorie calculation
"Worst experience by the coach and the selling agent who lured me to buy a bigger amount pack, I just kinda lost 5500 INR. Don't waste your money on this app. The agent is not even answering the call now when I was told that if there is a problem, I can contact anytime. I want my money back.",Improve customer experience and refund process
you can count your calories here best one...,No specific improvement suggestion
good,No specific improvement suggestion
No regional language support!,Add support for regional languages
It is a good app for me because Before my weight is 33 at age 12 age 13 my weight 51,No specific improvement suggestion
Paise k bhooke hai.... 0/10 recommend,Improve pricing and value for money
Very useful App,No specific improvement suggestion
what an app.,No specific improvement suggestion
Great,No specific improvement suggestion
Too expensive,Reduce the price
thank you,No specific improvement suggestion
great,No specific improvement suggestion
it's a good app,No specific improvement suggestion
super this app,No specific improvement suggestion
awesome,No specific improvement suggestion
Nutrition update on home page is not syncing after update shows 0 calories the whole day. It only gets synced when I stop and restart the app. Earlier this wasn't the case.,Fix nutrition update and syncing issue
very useful,No specific improvement suggestion
??,No specific improvement suggestion
it is a very good app,No specific improvement suggestion
"Very costly app.... U have to pay very high for nothing??????, when I request for an extension my premium plan, their price becomes high??, Do not waste ur time here, just go to any offline solution and for consultancy Dietician and fitness or GP, please visit the Practo app........ Worst app ever, I have wasted my 24500/-???????????? Just use it for free and do not buy any of their plans",Reduce pricing and improve value for money
"This is the worst app ever. I have lost some weight but after that my weight stuck here. I have taken 3 months premium plan but now I am regretting my decision. I also don't have time to talk to their expert dietitian but I also get time for talking to their customer support but I didn't get any response. When I was going to buy this plan they called me so many times but when I need support I didn't get any support. So, don't go for this.",Improve customer support and provide better dietitian interaction
good,No specific improvement suggestion
good app,No specific improvement suggestion
The idea behind the app is good but the overall experience is not so great. The app is a bit confusing to navigate and some features are not working properly. It needs improvement.,Improve app navigation and fix feature issues
"I had subscribed to the 6-month premium plan and I'm not satisfied with the service. The app is not user-friendly, the customer support is not responsive, and the diet plans are not effective. I wouldn't recommend it.","Improve user-friendliness, customer support, and diet plan effectiveness"
Nice,No specific improvement suggestion
????,No specific improvement suggestion
Very good app for weight loss,No specific improvement suggestion
This is the best health app I have ever used. It has helped me track my calories and stay on top of my fitness goals. Highly recommended!,No specific improvement suggestion
Nice app. Very helpful for tracking calories and staying on track with my diet.,No specific improvement suggestion
"I am not able to track my food properly. Every time I try to add a food item, the app crashes. It's very frustrating.",Fix food tracking and app crashing issue
"I used to love this app, but after the recent update, it keeps crashing. I can't even open it now. Please fix this issue.",Fix app crashing issue
"The app is good overall, but the interface is a bit clunky. It could be more user-friendly.",Improve app interface and user-friendliness
"I like the concept of the app, but the execution is poor. There are too many bugs and glitches. It needs a lot of improvement.",Fix bugs and glitches for better app performance
I find the app to be quite expensive for what it offers. There are other free apps that provide similar features.,Review pricing and provide better value for money
"The app is great for tracking calories and workouts, but it lacks some advanced features that other apps have. It could use more functionality.",Add advanced features and improve app functionality
"I've been using this app for a while now, and I find it to be inaccurate in tracking my calories. It often overestimates or underestimates the calorie count. It needs better accuracy.",Improve calorie tracking accuracy
The customer service of this app is terrible. I've reached out multiple times with no response. They need to improve their support.,Improve customer service and response time
I would like to see more variety in the available diet plans. The current options are limited.,Add more variety to the diet plan options
"The app has potential, but it lacks integration with other health and fitness apps. It would be great if it could sync with my fitness tracker and other apps.",Improve integration with other health and fitness apps
"Overall, the app is good, but it could use more educational resources. It would be helpful to have articles and tips on nutrition and fitness.",Add educational resources and articles on nutrition and fitness
"The best app out there for calorie tracking. The food database is huge and I hardly ever came across anything that wasn't available to track. What annoys me, however, is the constant notifications. They constantly try to push you to purchase the paid plans. As someone who is just looking for basic self-tracking, it's very irritating to constantly swipe away the notifications to purchase the paid plan.",Reduce pushy notifications for paid plans
"Studio workouts are great, workout coaches and dietitian are well equipped with knowledge in their field. One draw back with the app is that it has too many functionalities and since I am busy throughout the day, I don't really remember to update my food intake or water intake. Sometimes I find it quite confusing to navigate through the app. Apart from all this, all is good.",Simplify app functionalities and improve navigation
"Does well at tracking calories. Extremely pushy marketing tactics and nudges to upgrade. It takes anywhere between 5-10 taps to just start basic functionality and tracking. Very annoying to use, I wish they'd tone it down. I've complained to the customer service team a lot of times, but nothing. The user experience suffers because it makes it a chore to open the app to do anything.",Streamline user experience and reduce upgrade prompts
"Pathetic experience with ads. They're way too intrusive and almost make it useless. On one occasion, I had to disable a reminder to subscribe to a premium plan not once, not twice, but a freaking 3 times before I could actually get to what I wanted to do - a simple task of logging my meal. Gave it another chance after a couple of years, but it's too irritating for my taste. Bye for good.",Minimize intrusive ads and improve user experience
"Good app. I'm impressed with the variety of food available for calorie tracking. I felt only one drawback, they desperately push notifications every 30 minutes to track meals, water intake, exercise details, etc. It's honestly a bit too much. I had to switch off the notifications overall. Except for the pushiness when it comes to notifications, I recommend the app.",Reduce excessive notifications for tracking
"This used to be an amazing App earlier. It's now loaded with pop-ups and marketing material, even if you are a paid user. I have a smart plan, yet, got to navigate through multiple pop-ups before getting to the basic need of tracking. The user experience has deteriorated multiple folds in the recent times. There are many ways to upsell, killing the user experience is not one of them. I've lost interest in tracking even though I have paid for it. It's sad how poor strategy kills a beautiful product!!",Improve user experience and reduce pop-ups
"A year ago, I purchased their comprehensive plan and then discontinued it after a few weeks. I got the refund. I am now on the AI-powered Smart Plan. One can use this app just like a journal, while others might want constant engagement. I prefer using it as a journal and slowly adapting to suggestions. It's a good app for anyone who wants to monitor and improve their food habits and physical activity. Just one complaint: No desktop or web app for those who prefer bigger screens and comfort.",Provide a desktop or web app for better user experience
"The app is great and well laid out in terms of UI and functionality aspect. I enjoy using it knowing it covers everything regarding health. I'd appreciate it further if there were a way to connect the Apple Watch data to it. Secondly, if I also have an iPhone where I do get notifications on the phone (for let's say about water reminders). Yet, having Apple Watch on me more than the phone itself, I'd like the option to get the notification for the same on the watch itself. Great work!",Integrate Apple Watch data and provide notifications on the watch
